NEO4J QUERY RESULTS
===================


--- Query 1: Find the top 3 most cited papers of each conference/workshop Results ---

Event | PaperTitle | Citations
Baekgyu Kim | 1
Jiang Xie | 1
M. Anisetti | 1
Filippo Berto | 1
P. Njølstad | 1
F. Barbetti | 1
Rachel M. Williams | 1
A. Habeb | 1
E. Codner | 1
K. Barthel | 1
Konstantin Schall | 1
Klaus Jung | 1
Abderrahmane Ed-daoudy | 1
K. Maalmi | 1
Allen Andrews | 1
Jorge G. Barbosa | 1
C. Manelfi | 1
Ricardo Nobre | 1
M. Palkovic | 1
Ping Wong | 1
John Artoux | 1
Haruna Isah | 1
Tariq Abughofa | 1
Sazia Mahfuz | 1
Dharmitha Ajerla | 1
F. Zulkernine | 1
Shahzad Khan | 1
Fabio Sirchia | 1
R. Bruno | 1
Luís Picciochi Oliveira | 1
P. Ferreira | 1
Tingting Yin | 1
Yuhui Zhao | 1
Ying Yang | 1
Huaxiu Xu | 1
Dongxiang Zheng | 1
Guanglei Fu | 1
Qiuwei Li | 1
Gongguo Tang | 1
Rodolfo Stoffel Antunes | 1
G. Lee | 1
W. Zhang | 1
Hamed Behzadi-Khormouji | 1
H. Rostami | 1
Sana Salehi | 1
Touba Derakhshande-Rishehri | 1
Marzieh Masoumi | 1
Siavash Salemi | 1
A. Keshavarz | 1
A. Gholamrezanezhad | 1
M. Assadi | 1
A. Batouli | 1
V. D. Gowda | 1
Ujwala Suryakant Mali | 1
S. Mallikarjun | 1
S. D | 1
S. R. Kawale | 1
Xiao Liu | 1
Anfeng Liu | 1
Yuxin Liu | 1
Zhiping Cai | 1
Kai Liu | 1
Xincao Xu | 1
V. Lee | 1
Pratima Sharma | 1
D. B. Malaya | 1
Poopak Azad | 1
A. Sharifi | 1
Haowen Dong | 1
Chaoqun Zhan | 1
Lexy von Diezmann | 1
Y. Shechtman | 1
W. Moerner | 1
M. Rahman | 1
V. Papanikolaou | 1
A. Chrysovergis | 1
Vasileios Ragos | 1
E. Tsiambas | 1
Spyros Katsinis | 1
Arezina Manoli | 1
S. Papouliakos | 1
D. Roukas | 1
S. Mastronikolis | 1
D. Peschos | 1
A. Batistatou | 1
Efthimios Kyrodimos | 1
N. Mastronikolis | 1
H. Nafisi | 1
M. Marzband | 1
G. Gharehpetian | 1
Tulio de Oliveira | 1
C. Lejuez | 1
H. Wit | 1
Shiyong Wang | 1
Di Li | 1
Peng Li | 1
Min Xia | 1
Ulkar Ahmadova | 1
Mustafa Mustafayev | 1
Behnam Kiani Kalejahi | 1
Saeed Saeedvand | 1
Jonghyeok Park | 1
Soyee Choi | 1
Gihwan Oh | 1
Sang-Won Lee | 1
Hui Yang | 1
Q. Yao | 1
Chong Zheng | 1
Shengheng Liu | 1
Philippe Bonnet | 1
N. Caron | 1
Brooke T. Boswell | 1
Megan Hunt | 1
M. Ferrag | 1
Ricky Lali | 1
M. Chong | 1
J. Velianou | 1
M. Natarajan | 1
M. Cappelli | 1
B. Potter | 1
M. Vloet | 1
I. Graham | 1
M. Walker | 1
B. Wilson | 1
Quanbo Qu | 1
Yuan Ping | 1
Patrick Wu | 1
J. Warner | 1
Aurore Fleurie | 1
Christian Lesterlin | 1
Sylvie Manuse | 1
Chao Zhao | 1
C. Combet | 1
Erkin Kuru | 1
M. VanNieuwenhze | 1
Y. Brun | 1
D. Sherratt | 1
Ramesh C. Samanta | 1
Inke Siewert | 1
Harshi Pogadadanda | 1
U. Shwetha Shankar | 1
A. Pertiwi | 1
N. Bachtiar | 1
R. Kusumaningrum | 1
I. Waspada | 1
Adi Wibowo | 1
A.Vijayalakshmi Dr | 1
V.Sumalatha | 1
R. Peeling | 1
D. Fisher | 1
Z. Ozdemir | 1
B. Gumusel | 1
U. Caliş | 1
L. Clifton | 1
Neval Yilmaz | 1
Andrea Saltalamacchia | 1
M. Mally | 1
Marija Srnko | 1
J. Borišek | 1
P. Parkkila | 1
I. Albert | 1
K. Numata | 1
T. Nürnberger | 1
T. Viitala | 1
J. Derganc | 1
A. Magistrato | 1
J. Lakey | 1
C. Relton | 1
S. Gavan | 1
K. Payne | 1
Jiayi Hou | 1
C. Nannou | 1
Anna Ofrydopoulou | 1
E. Evgenidou | 1
D. Heath | 1
E. Heath | 1
D. Lambropoulou | 1
M. G. Fernández-Barrena | 1
M. Arechederra | 1
L. Colyn | 1
C. Berasain | 1
M. Ávila | 1
Yann-Chang Huang | 1
Chao-Ming Huang | 1
Huo-Ching Sun | 1
Shaymaa Alhayali | 1
O. Ucan | 1
Weiming Liu | 1
Camila Nacif | 1
Claudius F. Kratochwil | 1
Andreas F. Kautt | 1
A. Nater | 1
G. Machado-Schiaffino | 1
A. Meyer | 1
F. Henning | 1
David M. Evans | 1
Zheng Chen | 1
Feng Zhang | 1
Wentong Shu | 1
Nico Hezel | 1
Qiang Gao | 1
Xiaohan Wang | 1
Chaoran Liu | 1
Goce Trajcevski | 1
Li Huang | 1
Fan Zhou | 1
S. Satpathy | 1
B. Sahoo | 1
A. K. Turuk | 1
Yunguo Guan | 1
Yandong Zheng | 1
Guiyi Wei | 1
Nicola Bena | 1
Farhad Mehdipour | 1
S. Hambardzumyan | 1
Abhina Tuli | 1
Levon Ghukasyan | 1
Fariz Rahman | 1
Hrant Topchyan | 1
David Isayan | 1
J. Asturiano | 1
M. Morini | 1
Danielle Miller | 1
Michael A. Martin | 1
Noam Harel | 1
O. Tirosh | 1
T. Kustin | 1
Moran Meir | 1
Nadav Sorek | 1
S. Gefen-Halevi | 1
O. Vorontsov | 1
A. Shaag | 1
D. Wolf | 1
A. Peretz | 1
Y. Shemer-Avni | 1
Diana Roif-Kaminsky | 1
N. Kopelman | 1
A. Huppert | 1
K. Koelle | 1
A. Stern | 1
Lakshmi Ramani Burra | 1
Muthumala Vishnu Vardhan Reddy | 1
Sampoornamma Sudarsa | 1
Sreeraman Y | 1
Avuthu Lalith Adithya Reddy | 1
Andy H. Vo | 1
Xiaoyu Li | 1
Janna Ore Nugent | 1
S. Khan | 1
S. Clare | 1
Yuan Luo | 1
Sameer Kiran Antani | 1
Qiao Jin | 1
Huaiyuan Ying | 1
Chintan M. Bhatt | 1
Parth Patel | 1
Ta Ghetia | 1
P. Mazzeo | 1
Mahdieh Poostchi | 1
Hang Yu | 1
Zhou Zhou | 1
K. Silamut | 1
Jian Yu | 1
R. Maude | 1
Minjie Mou | 1
Kangli Chen | 1
Yongchao Luo | 1
Jianbo Fu | 1
Xu He | 1
Itika Arora | 1
Shizhao Li | 1
M. Crowley | 1
Yuanyuan Li | 1
T. Tollefsbol | 1
Dongying Zhang | 1
Weipeng Cao | 1
Zhongwu Xie | 1
Jian-qiang Li | 1
Zhiwu Xu | 1
Zhong Ming | 1
Xizhao Wang | 1
M. Daoud | 1
R. Loomba | 1
Hugh Rand | 1
S. Musser | 1
E. Brown | 1
Sobia Pervaiz | 1
Zia Ul-Qayyum | 1
W. Bangyal | 1
Liang Gao | 1
J. Ahmad | 1
M. Maurin | 1
Monika Wyczółkowska | 1
A. Sikora | 1
U. Karczmarczyk | 1
J. Pijarowska-Kruszyna | 1
A. Jaroń | 1
W. Wojdowska | 1
P. Garnuszek | 1
C. Thompson | 1
J. Cook | 1
J. Dunnum | 1
Adam W. Ferguson | 1
Magnus Gelang | 1
Faisal Ali | 1
Anwarali Khan | 1
M. Weksler | 1
C. W. Kilpatrick | 1
VinayakaR. Prasad | 1
Albert Einstein | 1
Miao Qiao | 1
Dongjie Deng | 1
K. Saroja | 1
K. Shantaraman | 1
Kavita Pandhare | 1
Kiran Kumar Mandapati | 1
P. Kiran | 1
Kotha Rakesh | 1
K. Shah | 1
C. Krishnan | 1
Kriti Shah | 1
Kuldeep Singh | 1
K. Anand | 1
Lalawmpuii Pachuau | 1
L. Chandrashekar | 1
L. Rajasekhar | 1
Lopamudra Mishra | 1
M. Padma | 1
M. Kabra | 1
Madhumita Roy Chowdhary | 1
Malika Seth | 1
Maneesh K. Rai | 1
Manish Kumar | 1
M. Parakh | 1
Manisha Goyal | 1
M. Gurjar | 1
M. Sahay | 1
M. Rophina | 1
M. Mukerji | 1
Mohammed Ali | 1
M. Faruq | 1
M. Karippoth | 1
M. Divakar | 1
M. Jayakrishnan | 1
Mukesh Kumar | 1
M. Poojary | 1
M. Prabhu | 1
N. S. Kumar | 1
N. Rais | 1
N. Bhaskaranand | 1
N. Bagri | 1
N. Sankhyan | 1
N. Awasthy | 1
Neeraj Gupta | 1
N. Parakh | 1
Neerja Gupta | 1
N. Bhari | 1
Neetu Kushwaha | 1
N. Sharma | 1
N. Virmani | 1
N. Kundu | 1
N. Plakkal | 1
Nishu Tyagi | 1
N. Radhakrishnan | 1
N. Naik | 1
N. Rai | 1
N. Mondal | 1
Nupur Bhargava | 1
P. Hari | 1
Paras Sehgal | 1
Piyush Kumar | 1
P. Chauhan | 1
P. Mailankody | 1
Pooja Sharma | 1
Poonam Parakh | 1
P. Nair | 1
P. Chakraborty | 1
Changxin Wan | 1
Jingyuan Hu | 1
W. Mulder | 1
G. Strijkers | 1
Esad Vucic | 1
D. Cormode | 1
K. Nicolay | 1
Z. Fayad | 1
M. Torres‐Martín | 1
M. Figueroa | 1
N. Droin | 1
I. Choinopoulos | 1
M. Tavana | 1
V. Hajipour | 1
S. Oveisi | 1
A. Levis | 1
Raveena Aggarwal | 1
J. Verma | 1
Manvi Siwach | 1
Qingchao Tang | 1
Chieh-Ming Wu | 1
Yin-Fu Huang | 1
T. Chénard | 1
Mandy Malick | 1
J. Dubé | 1
É. Massé | 1
S. Mandal | 1
Shivangi Upadhyay | 1
V. P. Singh | 1
R. Kapoor | 1
J. Mateo | 1
L. Steuten | 1
P. Aftimos | 1
F. André | 1
M. Davies | 1
E. Garralda | 1
J. Geissler | 1
D. Husereau | 1
I. Martinez-Lopez | 1
N. Normanno | 1
J. Reis-Filho | 1
S. Stefani | 1
D. M. Thomas | 1
C. Westphalen | 1
E. Voest | 1
A. Kontorovich | 1
Huaiyu Tang | 1
Jian Chen | 1
Yuchen Zhou | 1
Liwei Chen | 1
Shihong Hu | 1
Guanghui Li | 1
Bo Yin | 1
Yu Cheng | 1
L. Cai | 1
Xianghui Cao | 1
Fabrice Nolack Fote | 1
Saïd Mahmoudi | 1
Amine Roukh | 1
S. Mahmoudi | 1
N. Purandhar | 1
S. Ayyasamy | 1
P. S. Kumar | 1
Shiyuan Tong | 1
Jun Xu | 1
Xiaodong Wang | 1
Pengcheng Zhu | 1
X. You | 1
Christopher G. Brinton | 1
Baoxue Li | 1
Chunhui Zhao | 1
Keke Gai | 1
Igor Kopestenski | 1
P. V. Roy | 1
K. Kotecha | 1
Yi Dou | 1
Henry C. B. Chan | 1
M. Au | 1
Xiao Luo | 1
Ping Yan | 1
S. Duan | 1
Yi-Xin Kang | 1
Ying-Hao Deng | 1
Qian Liu | 1
Ting Wu | 1
Xi Wu | 1
M. Moleda | 1
Eltton Araujo | 1
J. Dantas | 1
Rúbens de Souza Matos Júnior | 1
Paulo Pereira | 1
P. Maciel | 1
Kartik Sharma | 1
Yeon-Chang Lee | 1
S. Nambi | 1
Aditya Salian | 1
Shlok Shah | 1
Sang-Wook Kim | 1
Srijan Kumar | 1
J. Roberts | 1
N. M. Cerqueira | 1
Eduardo F T Oliveira | 1
D. Gesto | 1
Diogo Santos-Martins | 1
Cátia Moreira | 1
H. Moorthy | 1
M. Ramos | 1
Prof. P. A. Fernandes | 1
Wenchen Han | 1
Zheng Zhong | 1
Yinda Zhang | 1
Samaa Gazzaz | 1
Vishal Chakraborty | 1
Faisal Nawab | 1
Cristiana Stan | 1
Adrian-Eduard Pandelica | 1
Vlad-Andrei Zamfir | 1
Roxana-Gabriela Stan | 1
Mohammad Sharaf | 1
Chih-Hsuan Liu | 1
Taili Chen | 1
L. Yao | 1
Shun-Yuan Wang | 1
S. Bhanumathi | 1
Sakthivel | 1
H. Lee | 1
Y. Choi | 1
Jin-Ho Shin | 1
A. Tsanousa | 1
Evangelos Bektsis | 1
Constantine A. Kyriakopoulos | 1
Ana Gómez-González | 1
Urko Leturiondo | 1
Ilias Gialampoukidis | 1
A. Karakostas | 1
S. Vrochidis | 1
Y. Kompatsiaris | 1
Xinkai Zheng | 1
Hai Yu | 1
Ruidong Li | 1
Adnan Tahir | 1
Zhong Ming | 1
Arshad Ahmad | 1
M. Shafiq | 1
Yuzhen Jiang | 1
Linzhi Gao | 1
Xiao Luo | 1
Dong Zhang | 1
Gui-zhu Jiang | 1
Xian Zhang | 1
Xuesong Gao | 1
Shaolie Zheng | 1
Xiaoyu Wang | 1
Yuan Shen | 1
Juan-Luis Suárez | 1
Min Huang | 1
Yi Wang | 1
Zhaoqing Liu | 1
Liyan Qiao | 1
Jiayan Guo | 1
Peiyan Zhang | 1
Xing Xie | 1
Yan Zhang | 1
Yizhou Shen | 1
Shigen Shen | 1
Qi Li | 1
Haiping Zhou | 1
Zong-Bing Wu | 1
Hongbin Ying | 1
Cong Yue | 1
Kwangjin Lee | 1
Hwajung Kim | 1
H. Yeom | 1
M. Khan | 1
Z. A. Khan | 1
Mohd Hassan Baig | 1
Irfan Ahmad | 1
Abd-ElAziem Farouk | 1
Y. Song | 1
J. Dong | 1
Ya-feng He | 1
K. Hema | 1
C. Raju | 1
Nikolaos M. Marinakis | 1
M. Svingou | 1
Danai Veltra | 1
K. Kekou | 1
C. Sofocleous | 1
Faidon-Nikolaos Tilemis | 1
K. Kosma | 1
E. Tsoutsou | 1
H. Fryssira | 1
J. Traeger-Synodinos | 1
Wei Hu | 1
Jianjun Lv | 1
Mengzhen Han | 1
Zhi Yang | 1
Tian Li | 1
Shuai Jiang | 1
Yang Yang | 1
Qing Wang | 1
Hui Li | 1
Chao Xuan | 1
Limin Lun | 1
Xiaobin Wang | 1
B. Zuckerman | 1
C. Pearson | 1
G. Kaufman | 1
Changzhong Chen | 1
Guoying Wang | 1
T. Niu | 1
P. Wise | 1
H. Bauchner | 1
Xiping Xu | 1
A. I. Freitas | 1
R. Herrán | 1
M. Hermida | 1
J. Rubiolo | 1
J. Gómez-Garrido | 1
F. Cruz | 1
F. Robles | 1
R. Navajas-Pérez | 1
A. Blanco | 1
P. R. Villamayor | 1
Dorinda Torres | 1
P. Sánchez‐Quinteiro | 1
D. Ramírez | 1
M. E. Rodríguez | 1
A. Arias-Pérez | 1
I. Cross | 1
N. Duncan | 1
T. Martínez‐Peña | 1
A. Riaza | 1
A. Millán | 1
Davide Pirolli | 1
M. Gut | 1
C. Bouza | 1
D. Robledo | 1
L. Rebordinos | 1
T. Alioto | 1
C. Ruiz-Rejón | 1
P. Martínez | 1
R. Castro‐Muñoz | 1
E. Díaz-Montes | 1
A. Cassano | 1
E. Gontarek | 1
M. Budoff | 1
David Sharp | 1
M. Zapien | 1
Lin Huang | 1
Bruce Maniet | 1
M. Rohaim | 1
R. F. El Naggar | 1
Emily Clayton | 1
M. Munir | 1
Irene Kilanioti | 1
Denghui Zhang | 1
Lijing Ren | 1
Muhammad Shafiq | 1
Zhaoquan Gu | 1
Ayca Kirimtat | 1
O. Krejcar | 1
A. Kertész | 1
M. Tasgetiren | 1
Dianlong You | 1
Ruiqi Li | 1
Shunpan Liang | 1
Miaomiao Sun | 1
Xinju Ou | 1
Fuyong Yuan | 1
Limin Shen | 1
Xuehao Lu | 1
Yu Liu | 1
Jenn-Wei Lin | 1
J. Arul | 1
Jia-Ting Kao | 1
Henna Kokkonen | 1
Lauri Lovén | 1
Naser Hossein Motlagh | 1
Juha Partala | 1
Alfonso Gonz'alez-Gil | 1
Ester Sola | 1
Inigo Angulo | 1
T. Leppanen | 1
Tri Nguyen | 1
Panos Kostakos | 1
M. Bennis | 1
Sasu Tarkoma | 1
S. Pirttikangas | 1
J. Riekki | 1
Stefan Nothaas | 1
M. Schöttner | 1
H. Asaeda | 1
Na Gai | 1
David S. L. Wei | 1
Rui Shang | 1
Balqees Ara | 1
Islam Zada | 1
Zaid Ullah | 1
Shafi Ullah Khan | 1
Haiyang Wang | 1
Jiaming Feng | 1
Ke Li | 1
Qi Liu | 1
Vishwajeet Patel | 1
H. Aditya Pai | 1
A. S. Kumar | 1
J. Praveen Gujjar | 1
H. N. Naveen Kumar | 1
R. Karthik | 1
R. Menaka | 1
M. Hariharan | 1
G. Kathiresan | 1
Yilun Huang | 1
Dong Wen | 1
Longbin Lai | 1
Zhengping Qian | 1
S. Madden | 1
Khaled Al-Gumaei | 1
Arthur Müller | 1
Jan Nicolas Weskamp | 1
Claudio Santo Longo | 1
Florian Pethig | 1
Stefan Windmann | 1
N. I. Pikuleva | 1
A. Khafizova | 1
R.A. Khakov | 1
Marrin Molan | 1
Junaid Ahmed Khan | 1
Hsin-Hung Cho | 1
Longbin Shen | 1
Christopher Lee | 1
Omar Elsekaily | 1
Lubna Alhalabi | 1
Faizan A Faizee | 1
Joana P F Teixeira | 1
M. Tiritan | 1
M. Pinto | 1
C. Fernandes | 1
Xiaomin Chen | 1
Yutong Kang | 1
Jing Luo | 1
Kun Pang | 1
Xin Xu | 1
Jinyu Wu | 1
Xiaokun Li | 1
S. Jin | 1
Tatum D. Mortimer | 1
Y. Grad | 1
T. Pavlidis | 1
Farhat Ali | 1
A. Abushelaibi | 1
K. Lai | 1
Jennifer Geddes-McAlister | 1
Saurabh Kumar | 1
Pradeep Kumar | 1
Ezugwu E. Absalom | 1
A. M. Ikotun | 1
O. N. Oyelade | 1
J. Agushaka | 1
C. Eke | 1
A. A. Akinyelu | 1
A. Kankaanpää | 1
Teemu Gunnar | 1
K. Ariniemi | 1
P. Lillsunde | 1
S. Mykkänen | 1
T. Seppälä | 1
I. Chau | 1
Juan Zhang | 1
Zhao-xia Tan | 1
Guohong Deng | 1
F. Krammer | 1
Hui Sun | 1
Ying Han | 1
Xi-jun Wang | 1
Vineeta Agarwala | 1
S. Sunyaev | 1
D. Altshuler | 1
M. Dumont-Driscoll | 1
R. Srideepthi | 1
M. S. R. Krishna | 1
P. Suneetha | 1
R. Krishna | 1
S. Karthikeyan | 1
R. Almeida | 1
S. O. Ferreira | 1
Isnard Ferraz | 1
T. J. Oliveira | 1
Qian Wang | 1
Jingjing Huang | 1
Yanjiao Chen | 1
Xin Tian | 1
S. Brezgin | 1
A. Kostyusheva | 1
D. Kostyushev | 1
V. Chulanov | 1
Wenchao Yang | 1
Yicheng Zhou | 1
Biao Jin | 1
Xin Qi | 1
Bin Cai | 1
Q. Yin | 1
J. Pfaendtner | 1
J. D. De Yoreo | 1
Chun-Yuan Chen | 1
Akinrinade George Ayankojo | 1
J. Reut | 1
Vu Bao Chau Nguyen | 1
Roman Boroznjak | 1
V. Syritski | 1
Xueguo Xu | 1
Meizeng Gui | 1
Yixiao Huang | 1
Lei Zhao | 1
Warrren B Powell | 1
Yue Tong | 1
Alicia Johns | 1
Seung Tae Lee | 1
Hussam Alrabaiah | 1
Mati ur Rahman | 1
Yuliang Sun | 1
A. S. Hashim | 1
B. Pansera | 1
Moayad Aloqaily | 1
Thomas Vogt | 1
J. Lellmann | 1
L. Claassen | 1
M. Wijdenes-Pijl | 1
F. Walter | 1
Sofie Van Holle | 1
K. De Schutter | 1
Lore Eggermont | 1
Mariya Tsaneva | 1
Liuyi Dang | 1
S. Banerjee | 1
N. Adhikari | 1
S. Amin | 1
T. Jha | 1
Y. Gindin | 1
Zhaoshi Jiang | 1
E. Lawitz | 1
S. Caldwell | 1
C. Djedjos | 1
R. Xu | 1
C. Chung | 1
Robert P. Myers | 1
G. M. Subramanian | 1
Z. Goodman | 1
M. Charlton | 1
N. Afdhal | 1
Anna Mae Diehl | 1
G. Beunders | 1
Melodi Dekker | 1
O. Haver | 1
H. Meijers-Heijboer | 1
M. Pešić | 1
Miljana D. Todorov | 1
Gergely Becskereki | 1
G. Horvai | 1
Tatjana Ž Verbić | 1
B. Tóth | 1
L. Sugden | 1
A. P. Fischer | 1
Stephen Rong | 1
B. Henn | 1
Sohini Ramachandran | 1
P. Topping | 1
Mogens H. Jensen | 1
Anders Levermann | 1
Joachim Mathiesen | 1
Benny Davidovitch | 1
Itamar Procaccia The Niels Bohr Institute | 1
Copenhagen | 1
D. Physics | 1
The Weizmann Inst. of Science | 1
Rehovot | 1
Israel | 1
Kohei Soga | 1
J. Sarkar | 1
R. Guha | 1
Ö. Şi̇mşek | 1
Z. Şahin | 1
Ş. Işık | 1
Namin Wei | 1
Yan Xu | 1
Huan Wang | 1
Qiulei Jia | 1
Xi Shou | 1
Xuesong Zhang | 1
Nan Zhang | 1
Ya'nan Li | 1
Huaqiang Zhai | 1
Yuanhui Hu | 1
E. Verheyen | 1
Michael Fernández | 1
Cole G Jensen | 1
Peter Neugebauer | 1
M. Petrone | 1
Mario A. Peña-Hernández | 1
I. Ott | 1
A. Wyllie | 1
T. Aydillo | 1
A. Rombauts | 1
D. Stadlbauer | 1
S. Aslam | 1
G. Abelenda-Alonso | 1
Alba Escalera | 1
F. Amanat | 1
Kaijun Jiang | 1
J. Carratalá | 1
Yi‐Cheng Chen | 1
Hao-Earn Chong | 1
Mei-Lin Yang | 1
Chao-Liang Wu | 1
H. Prinz | 1
C. Bödör | 1
L. Reiniger | 1
T. Mercer | 1
Shendi Suryana | 1
Mutakin | 1
Y. Rosandi | 1
Mark A. Gondree | 1
S. Ahmadipour | 1
Laura Beswick | 1
G. Miller | 1
Chunkai Zhang | 1
Zhichao Liu | 1
Ruth Roberts | 1
Joshua Xu | 1
F. Sedlazeck | 1
W. Tong | 1
Margret Matias | 1
Katie Wusik | 1
D. Neilson | 1
Xue Zhang | 1
C. Alexander Valencia | 1
Kathleen Collins | 1
S. E. O'Brien | 1
Steven J. Schrodi | 1
Zhan Ye | 1
A. Brautbar | 1
T. Mirshahi | 1
K. Matyjaszewski | 1
E. Murray | 1
R. Nosalski | 1
N. Macritchie | 1
M. Tomaszewski | 1
P. Maffia | 1
David G Harrison | 1
T. Guzik | 1
Vikram Thakur | 1
Shivam Bhola | 1
Pryanka Thakur | 1
S. S. Patel | 1
S. Kulshrestha | 1
R. Ratho | 1
Pradeep Kumar | 1
E. V. Van Damme | 1
Xing Wang | 1
Yanyu Yang | 1
Peiyuan Gao | 1
Fei Yang | 1
Hong Shen | 1
Hongxia Guo | 1
F. Xu | 1
Decheng Wu | 1
Yibin Kang | 1
Wei Jiang | 1
Alessandro di Michele | 1
M. Marinozzi | 1
U. Bromberg | 1
A. Wiehler | 1
Yu-Hsuan Chu | 1
J. O. Escobedo | 1
P. Steyger | 1
R. Strongin | 1
Jim Basney | 1
T. Hewa | 1
Yining Hu | 1
Salil Kanhare | 1
M. Ylianttila | 1
Jiesong Liu | 1
Dalin Wang | 1
Xiaokun Fang | 1
Dario Pevec | 1
Hrvoje Vdovic | 1
Ivana Gace | 1
Matea Sabolic | 1
Jurica Babic | 1
V. Podobnik | 1
Anastasia Ailamaki | 1
Ji Liu | 1
Syeda Sana Bukhari | 1
Jinhyuck Park | 1
G. Iordache | 1
Maluambanzila Minerve Mampaka | 1
M. Sumbwanyambe | 1
Supriya Sarker | 1
M. Arefin | 1
Md. Kowsher | 1
T. Bhuiyan | 1
P. K. Dhar | 1
Oh-Jin Kwon | 1
Koyel Mukherjee | 1
Raunak Shah | 1
S. Saini | 1
Karanpreet Singh | 1
Khushi | 1
Harshita Kesarwani | 1
Kavya Barnwal | 1
Ayush Chauhan | 1
Sang Hun Han | 1
K. Kim | 1
E. Cha | 1
Kyung-Ah Kim | 1
H. Shon | 1
Karim Moharm | 1
Zhi Jing | 1
Yongye Su | 1
Yikun Han | 1
Bo Yuan | 1
Haiyun Xu | 1
Chunjiang Liu | 1
Kehai Chen | 1
Min Zhang | 1
Zhao-Hui Sun | 1
Zhiyang Chen | 1
Sijia Cao | 1
X. Ming | 1
Lu Zhang | 1
Qi Li | 1
Ye Li | 1
R. Reynolds | 1
Ishtiaq Ahmed | 1
Aljwhrh Almtrf | 1
Yasamin Alagrash | 1
M. Zohdy | 1
Yulin Chen | 1
Jinglong Luo | 1
Yan Kang | 1
Xiaojin Zhang | 1
B. Schwaller | 1
Nick Tucker | 1
Thomas W. Tucker | 1
B. Allan | 1
J. Brandt | 1
F. Al-turjman | 1
H. Zahmatkesh | 1
Ramiz Shahroze | 1
K. Wangensteen | 1
Jianquan He | 1
Shuangbing Xu | 1
Bangzhou Zhang | 1
C. xiao | 1
Zhangran Chen | 1
Fuyou Si | 1
Jifan Fu | 1
Xiaomei Lin | 1
Guohua Zheng | 1
Guangchuang Yu | 1
Jian Chen | 1
M. Dioguardi | 1
F. Spirito | 1
G. A. Caloro | 1
L. Lo Muzio | 1
A. Ballini | 1
M. Di Cosola | 1
Hui Jean Lim | 1
Tridib Saha | 1
B. Tey | 1
W. Tan | 1
C. Ooi | 1
Alexander Biederstädt | 1
M. Zamani | 1
Jevgeni Erehman | 1
Priyanka Banerjee | 1
W. Rong | 1
Philip J Margiotta | 1
Jennie Y Law | 1
P. Lesho | 1
M. Kocoglu | 1
J. Yared | 1
Boyd A. Laurent | 1
Yunpeng Cai | 1
Ye Feng | 1
Shengmei Zou | 1
Hangfei Chen | 1
Yunsong Yu | 1
Z. Ruan | 1
R. P. Saha | 1
Ashish Ranjan Sharma | 1
Manoj Kumar Singh | 1
S. Samanta | 1
Swarnav Bhakta | 1
S. Mandal | 1
C. Chakraborty | 1
S. Puig | 1
Courtney L. Donica | 1
H. Gutstein | 1
T. Allard | 1
G. Hébrail | 1
F. Masseglia | 1
Esther Pacitti | 1
Yachun Su | 1
Sneha Gopal | 1
Andre L Rodrigues | 1
J. Dordick | 1
Xiaozhu Liu | 1
S. Yue | 1
Haodong Huang | 1
Minjie Duan | 1
Binyi Zhao | 1
Jin Liu | 1
Tianyu Xiang | 1
Rima Kilany | 1
Mitri Haber | 1
Ali Jaber | 1
Tao Du | 1
Shouning Qu | 1
Qin Wang | 1
G. Andrienko | 1
N. Andrienko | 1
Sunil Kumar | 1
K. Mohbey | 1
Jiayuan Wu | 1
F. Abdelhédi | 1
A. A. Brahim | 1
G. Zurfluh | 1
A. Mushtaq | 1
Sindhu Hak Gupta | 1
Asmita Rajawat | 1
F. Jauro | 1
M. Al-garadi | 1
I. Abdullahi | 1
Liyana Shuib | 1
Eliza Gomes | 1
M. Dantas | 1
D. D. J. D. Macedo | 1
Carlos Roberto de Rolt | 1
M. L. Brocardo | 1
Renan Souza | 1
L. Azevedo | 1
V'itor Lourencco | 1
E. Soares | 1
R. Thiago | 1
R. Brandão | 1
D. Civitarese | 1
E. V. Brazil | 1
M. Moreno | 1
Renato Cerqueira | 1
S. Attwood | 1
T. Connor | 1
E. Uriarte | 1
M. Pisarska | 1
J. Chan | 1
K. Lawrenson | 1
Tania L. Gonzalez | 1
E. Wang | 1
M. Myers | 1
Andrea Speltini | 1
D. Merli | 1
A. Profumo | 1
Yu-Tung Hsieh | 1
Y. Chou | 1
Pin-Yu Kuo | 1
A. Shiau | 1
Chrong-Reen Wang | 1
Xinbin Zhao | 1
Yuecheng Ding | 1
Jing Du | 1
Yubo Fan | 1
F. Salamanca-Buentello | 1
A. Daar | 1
K. Elango | 1
A. Kumaresan | 1
Ankur Sharma | 1
P. Nag | 1
M. A. Prakash | 1
M. Sinha | 1
A. Manimaran | 1
Ebenezer Samuel King John Peter | 1
S. Jeyakumar | 1
K. Ramesha | 1
T. Datta | 1
N. Yount | 1
A. Bayer | 1
Y. Xiong | 1
M. Yeaman | 1
Stuart A. McNelles | 1
Spencer D. Knight | 1
N. Janzen | 1
Henry H. Wilmer | 1
A. D. Baxevanis | 1
F. Scavizzi | 1
Cristian Bassi | 1
L. Lupini | 1
Paola Guerriero | 1
M. Raspa | 1
S. Sabbioni | 1
Maja Urošević | 1
L. Nikolić | 1
I. Gajić | 1
V. Nikolić | 1
A. Dinić | 1
